time,n_infected,prop_ever_infected,prop_currently_infected,n_recovered,prop_recovered,b_cxn_peers,b_cxn_total,b_cxn_symp,iter
8.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
9.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
10.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
11.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
12.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
13.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
14.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-5.0,-2.0,2
200.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-5.0,-2.0,2
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.75,-3.5,-1.5,1
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
7.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.75,-3.5,-1.5,1
